City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Senador Pompeu,BR,-5.5881,-39.3717,81.19,73,97,6.13,overcast clouds
277,Ambilobe,MG,-13.2,49.05,83.46,81,88,4.54,moderate rain
278,Tadine,NC,-21.55,167.8833,75.65,73,13,9.24,few clouds
279,Khatanga,RU,71.9667,102.5,-8.39,92,75,4.7,broken clouds
280,Olafsvik,IS,64.8945,-23.7142,28.72,74,90,31.76,overcast clouds
281,Boma,GH,7.0805,-2.1697,95.5,37,51,3.38,broken clouds
282,Tobermory,CA,45.2501,-81.6665,41.0,87,59,10.36,broken clouds
283,Carballo,ES,43.213,-8.691,62.01,75,18,8.99,few clouds
284,Yarada,IN,17.65,83.2667,86.0,54,8,4.61,haze
285,Zalukokoazhe,RU,43.9039,43.2156,41.0,70,90,22.37,light rain
286,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,55,20,14.97,few clouds
287,Panama City,PA,8.9936,-79.5197,80.01,83,20,4.61,few clouds
288,Great Bend,US,38.3645,-98.7648,39.2,100,90,9.22,mist
289,Ilhabela,BR,-23.7781,-45.3581,82.71,68,16,2.95,few clouds
290,Tabou,CI,4.423,-7.3528,83.26,71,100,5.7,overcast clouds
291,Sal Rei,CV,16.1833,-22.9167,75.2,60,20,26.46,few clouds
292,Aosta,IT,45.7667,7.4167,66.2,26,100,16.11,overcast clouds
293,Geraldton,AU,-28.7667,114.6,69.8,68,0,19.57,clear sky
294,Chokurdakh,RU,70.6333,147.9167,-28.59,100,79,5.66,broken clouds
295,Safita,SY,34.8205,36.1153,54.0,77,91,8.01,overcast clouds
296,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,45.0,94,100,10.29,overcast clouds
297,Swamimalai,IN,10.95,79.3333,83.59,54,50,11.68,scattered clouds
298,Yen Bai,VN,21.7,104.8667,68.68,91,100,0.34,overcast clouds
299,High Level,CA,58.5169,-117.136,-13.0,92,40,2.3,scattered clouds
300,Mookane,BW,-23.688,26.6595,80.28,42,100,7.49,overcast clouds
301,Arrecife,ES,28.963,-13.5477,71.6,60,0,8.05,clear sky
302,Assiniboia,CA,49.6334,-105.9845,32.0,74,100,4.61,overcast clouds
303,Lodja,CD,-3.4833,23.4333,76.57,80,99,7.85,overcast clouds
304,Tommot,RU,58.9564,126.2925,-4.68,98,14,3.0,few clouds
305,Victoria,HK,22.2855,114.1577,72.0,76,0,17.69,clear sky
306,Yumen,CN,40.2833,97.2,47.98,29,83,13.8,broken clouds
307,Centralia,US,46.7162,-122.9543,42.8,100,90,5.75,overcast clouds
308,Baykit,RU,61.67,96.37,23.47,90,99,6.4,overcast clouds
309,Grindavik,IS,63.8424,-22.4338,32.0,69,0,19.57,clear sky
310,Clyde River,CA,70.4692,-68.5914,-5.8,84,90,23.02,mist
311,Senneterre,CA,48.3835,-77.2328,46.4,93,90,9.22,overcast clouds
312,Itarare,BR,-24.1125,-49.3317,75.99,51,100,7.0,overcast clouds
313,Izumo,JP,35.3667,132.7667,48.2,87,0,6.91,clear sky
314,Gobabis,NA,-22.45,18.9667,81.23,33,93,4.41,overcast clouds
315,Ola,RU,59.5833,151.2833,-6.66,86,1,8.01,clear sky
316,Cabo San Lucas,MX,22.8909,-109.9124,57.99,82,1,1.86,clear sky
317,Dubai,AE,25.2582,55.3047,93.2,27,0,11.5,clear sky
318,Soyo,AO,-6.1349,12.3689,82.65,67,100,9.26,overcast clouds
319,Praxedis Guerrero,MX,31.3667,-106.0167,41.0,75,1,10.36,clear sky
320,Kattivakkam,IN,13.2167,80.3167,84.2,70,20,8.05,few clouds
321,Upernavik,GL,72.7868,-56.1549,-18.18,82,99,1.66,overcast clouds
322,China,MX,25.7,-99.2333,66.61,28,63,30.31,broken clouds
323,Tual,ID,-5.6667,132.75,84.0,74,100,7.74,overcast clouds
324,Tumen,CN,42.9661,129.8425,39.15,91,62,1.61,broken clouds
325,Kautokeino,NO,69.0125,23.0412,31.87,81,100,4.68,overcast clouds
326,Zemio,CF,5.0314,25.1361,96.75,28,91,1.43,overcast clouds
327,Saint-Joseph,RE,-21.3667,55.6167,78.8,89,75,9.22,light rain
328,Choma,ZM,-16.8065,26.9531,73.38,64,93,6.58,overcast clouds
329,Qena,EG,26.1615,32.7183,77.0,20,0,9.22,clear sky
330,Muros,ES,42.7762,-9.0603,63.0,55,74,11.36,broken clouds
331,Eureka,US,40.8021,-124.1637,46.0,89,91,4.0,overcast clouds
332,Port Blair,IN,11.6667,92.75,82.76,72,70,6.08,broken clouds
333,Warrington,GB,53.3925,-2.5802,57.99,54,16,13.8,few clouds
334,Camacupa,AO,-12.0167,17.4833,73.44,72,96,6.08,light rain
335,Ketchikan,US,55.3422,-131.6461,37.4,87,75,5.75,broken clouds
336,Biloela,AU,-24.4167,150.5,71.83,50,0,4.27,clear sky
337,Srednekolymsk,RU,67.45,153.6833,-13.0,100,99,2.28,overcast clouds
338,Georgetown,MY,5.4112,100.3354,82.0,89,40,2.3,scattered clouds
339,Margate,GB,51.3813,1.3862,55.99,66,85,5.01,overcast clouds
340,Coldingham,GB,55.8868,-2.157,53.6,66,40,16.8,scattered clouds
341,Borba,BR,-4.3878,-59.5939,76.57,90,100,3.53,overcast clouds
342,Japura,ID,-0.3167,102.35,75.02,97,100,1.97,overcast clouds
343,Bangolo,CI,7.0069,-7.475,91.87,44,99,2.75,overcast clouds
344,Lukulu,ZM,-14.3707,23.242,83.88,44,86,4.03,overcast clouds
345,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.79,62,20,11.54,few clouds
346,Vila Velha,BR,-20.3297,-40.2925,86.0,65,20,5.75,few clouds
